"name","medal_type","gender","country","event","isteam","url_event"
"CAMBEI Mihaela Valentina","Silver Medal","Female","Romania","Women's 49kg",False,"/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--"
"HASSAN Sifan","Bronze Medal","Female","Netherlands","Women's 5000m",False,"/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--"
"CHEBET Beatrice","Gold Medal","Female","Kenya","Women's 5000m",False,"/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--"
"KIPYEGON Faith","Silver Medal","Female","Kenya","Women's 5000m",False,"/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--"
"VILLEGAS Aira","Bronze Medal","Female","Philippines","Women's 50kg",False,"/en/paris-2024/results/boxing/women-s-50kg/sfnl000200--"
"KYZAIBAY Nazym","Bronze Medal","Female","Kazakhstan","Women's 50kg",False,"/en/paris-2024/results/boxing/women-s-50kg/sfnl000100--"
"WU Yu","Gold Medal","Female","China","Women's 50kg",False,"/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--"
"CAKIROGLU Buse Naz","Silver Medal","Female","Türkiye","Women's 50kg",False,"/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--"
"ZHANG Yufei","Bronze Medal","Female","China","Women's 50m Freestyle",False,"/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--"
"SJOESTROEM Sarah","Gold Medal","Female","Sweden","Women's 50m Freestyle",False,"/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--"
"HARRIS Meg","Silver Medal","Female","Australia","Women's 50m Freestyle",False,"/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--"
"IM Aeji","Bronze Medal","Female","Korea","Women's 54kg",False,"/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--"
"PANG Cholmi","Bronze Medal","Female","DPR Korea","Women's 54kg",False,"/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--"
"CHANG Yuan","Gold Medal","Female","China","Women's 54kg",False,"/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--"
"AKBAS Hatice","Silver Medal","Female","Türkiye","Women's 54kg",False,"/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--"
"PETECIO Nesthy","Bronze Medal","Female","Philippines","Women's 57kg",False,"/en/paris-2024/results/boxing/women-s-57kg/sfnl000200--"
"YILDIZ KAHRAMAN Esra","Bronze Medal","Female","Türkiye","Women's 57kg",False,"/en/paris-2024/results/boxing/women-s-57kg/sfnl000100--"
"LIN Yu Ting","Gold Medal","Female","Chinese Taipei","Women's 57kg",False,"/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--"
"SZEREMETA Julia","Silver Medal","Female","Poland","Women's 57kg",False,"/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--"
"KUO Hsing-Chun","Bronze Medal","Female","Chinese Taipei","Women's 59kg",False,"/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--"
"LUO Shifang","Gold Medal","Female","China","Women's 59kg",False,"/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--"
"CHARRON Maude","Silver Medal","Female","Canada","Women's 59kg",False,"/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--"
"WU Shih Yi","Bronze Medal","Female","Chinese Taipei","Women's 60kg",False,"/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--"
"SOARES FERREIRA Beatriz Iasmin","Bronze Medal","Female","Brazil","Women's 60kg",False,"/en/paris-2024/results/boxing/women-s-60kg/sfnl000200--"
"HARRINGTON Kellie","Gold Medal","Female","Ireland","Women's 60kg",False,"/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--"
"YANG Wenlu","Silver Medal","Female","China","Women's 60kg",False,"/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--"
"CHEN Nien Chin","Bronze Medal","Female","Chinese Taipei","Women's 66kg",False,"/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--"
"SUWANNAPHENG Janjaem","Bronze Medal","Female","Thailand","Women's 66kg",False,"/en/paris-2024/results/boxing/women-s-66kg/sfnl000100--"
"KHELIF Imane","Gold Medal","Female","Algeria","Women's 66kg",False,"/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--"
"YANG Liu","Silver Medal","Female","China","Women's 66kg",False,"/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--"
"PALACIOS DAJOMES Angie Paola","Bronze Medal","Female","Ecuador","Women's 71kg",False,"/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--"
"REEVES Olivia","Gold Medal","Female","United States","Women's 71kg",False,"/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--"
"SANCHEZ Mari Leivis","Silver Medal","Female","Colombia","Women's 71kg",False,"/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--"
"PARKER Caitlin","Bronze Medal","Female","Australia","Women's 75kg",False,"/en/paris-2024/results/boxing/women-s-75kg/sfnl000100--"
"DJANKEU NGAMBA Cindy Winner","Bronze Medal","Female","EOR","Women's 75kg",False,"/en/paris-2024/results/boxing/women-s-75kg/sfnl000200--"
"LI Qian","Gold Medal","Female","China","Women's 75kg",False,"/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--"
"BYLON Atheyna Bibeichi","Silver Medal","Female","Panama","Women's 75kg",False,"/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--"
"MORAA Mary","Bronze Medal","Female","Kenya","Women's 800m",False,"/en/paris-2024/results/athletics/women-s-800m/fnl-000100--"
"HODGKINSON Keely","Gold Medal","Female","Great Britain","Women's 800m",False,"/en/paris-2024/results/athletics/women-s-800m/fnl-000100--"
"DUGUMA Tsige","Silver Medal","Female","Ethiopia","Women's 800m",False,"/en/paris-2024/results/athletics/women-s-800m/fnl-000100--"
"MADDEN Paige","Bronze Medal","Female","United States","Women's 800m Freestyle",False,"/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--"
"LEDECKY Katie","Gold Medal","Female","United States","Women's 800m Freestyle",False,"/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--"
"TITMUS Ariarne","Silver Medal","Female","Australia","Women's 800m Freestyle",False,"/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--"
"DAJOMES BARRERA Neisi Patricia","Bronze Medal","Female","Ecuador","Women's 81kg",False,"/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--"
"KOANDA Solfrid Eila Amena","Gold Medal","Female","Norway","Women's 81kg",False,"/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--"
"AHMED Sara","Silver Medal","Female","Egypt","Women's 81kg",False,"/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--"
"LEE Sunisa","Bronze Medal","Female","United States","Women's All-Around",False,"/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--"
"BILES Simone","Gold Medal","Female","United States","Women's All-Around",False,"/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--"
"ANDRADE Rebeca","Silver Medal","Female","Brazil","Women's All-Around",False,"/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--"
"ESPOSITO Manila","Bronze Medal","Female","Italy","Women's Balance Beam",False,"/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--"
"D'AMATO Alice","Gold Medal","Female","Italy","Women's Balance Beam",False,"/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--"
"ZHOU Yaqin","Silver Medal","Female","China","Women's Balance Beam",False,"/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--"
"PILZ Jessica","Bronze Medal","Female","Austria","Women's Boulder & Lead",False,"/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--"
"GARNBRET Janja","Gold Medal","Female","Slovenia","Women's Boulder & Lead",False,"/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--"
"RABOUTOU Brooke","Silver Medal","Female","United States","Women's Boulder & Lead",False,"/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--"
"LEIBFARTH Evy","Bronze Medal","Female","United States","Women's Canoe Single",False,"/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--"
"FOX Jessica","Gold Medal","Female","Australia","Women's Canoe Single",False,"/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--"
"LILIK Elena","Silver Medal","Female","Germany","Women's Canoe Single",False,"/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--"
"CIRILO DUBOYS Yarisleidis","Bronze Medal","Female","Cuba","Women's Canoe Single 200m",False,"/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------"
"VINCENT Katie","Gold Medal","Female","Canada","Women's Canoe Single 200m",False,"/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------"
"HARRISON Nevin","Silver Medal","Female","United States","Women's Canoe Single 200m",False,"/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------"
"RISSVEDS Jenny","Bronze Medal","Female","Sweden","Women's Cross-country",False,"/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--"
"FERRAND PREVOT Pauline","Gold Medal","Female","France","Women's Cross-country",False,"/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--"
"BATTEN Haley","Silver Medal","Female","United States","Women's Cross-country",False,"/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--"
"HOEST Line Flem","Bronze Medal","Female","Norway","Women's Dinghy",False,"/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--"
"BOUWMEESTER Marit","Gold Medal","Female","Netherlands","Women's Dinghy",False,"/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--"
"RINDOM Anne-Marie","Silver Medal","Female","Denmark","Women's Dinghy",False,"/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--"
"ELKASEVIC Sandra","Bronze Medal","Female","Croatia","Women's Discus Throw",False,"/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--"
"ALLMAN Valarie","Gold Medal","Female","United States","Women's Discus Throw",False,"/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--"
"FENG Bin","Silver Medal","Female","China","Women's Discus Throw",False,"/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--"
"BARBOSU Ana","Bronze Medal","Female","Romania","Women's Floor Exercise",False,"/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--"
"ANDRADE Rebeca","Gold Medal","Female","Brazil","Women's Floor Exercise",False,"/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--"
"BILES Simone","Silver Medal","Female","United States","Women's Floor Exercise",False,"/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--"
"HARVEY Eleanor","Bronze Medal","Female","Canada","Women's Foil Individual",False,"/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--"
"KIEFER Lee","Gold Medal","Female","United States","Women's Foil Individual",False,"/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--"
"SCRUGGS Lauren","Silver Medal","Female","United States","Women's Foil Individual",False,"/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--"
"FENG Ziqi","Bronze Medal","Female","China","Women's Freestyle 50kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-50kg/repf000200--"
"SUSAKI Yui","Bronze Medal","Female","Japan","Women's Freestyle 50kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-50kg/repf000100--"
"HILDEBRANDT Sarah Ann","Gold Medal","Female","United States","Women's Freestyle 50kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--"
"GUZMAN LOPEZ Yusneylis","Silver Medal","Female","Cuba","Women's Freestyle 50kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--"
"PANG Qianyu","Bronze Medal","Female","China","Women's Freestyle 53kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000200--"
"CHOE Hyo Gyong","Bronze Medal","Female","DPR Korea","Women's Freestyle 53kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000100--"
"FUJINAMI Akari","Gold Medal","Female","Japan","Women's Freestyle 53kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--"
"YEPEZ GUZMAN Lucia Yamileth","Silver Medal","Female","Ecuador","Women's Freestyle 53kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--"
"MAROULIS Helen Louise","Bronze Medal","Female","United States","Women's Freestyle 57kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000100--"
"HONG Kexin","Bronze Medal","Female","China","Women's Freestyle 57kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--"
"SAKURAI Tsugumi","Gold Medal","Female","Japan","Women's Freestyle 57kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--"
"NICHITA Anastasia","Silver Medal","Female","Republic of Moldova","Women's Freestyle 57kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--"
"TYNYBEKOVA Aisuluu","Bronze Medal","Female","Kyrgyzstan","Women's Freestyle 62kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--"
"BULLEN Grace Jacob","Bronze Medal","Female","Norway","Women's Freestyle 62kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--"
"MOTOKI Sakura","Gold Medal","Female","Japan","Women's Freestyle 62kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--"
"KOLIADENKO Iryna","Silver Medal","Female","Ukraine","Women's Freestyle 62kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--"
"OZAKI Nonoka","Bronze Medal","Female","Japan","Women's Freestyle 68kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000200--"
"CAVUSOGLU TOSUN Buse","Bronze Medal","Female","Türkiye","Women's Freestyle 68kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--"
"ELOR Amit","Gold Medal","Female","United States","Women's Freestyle 68kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--"
"ZHUMANAZAROVA Meerim","Silver Medal","Female","Kyrgyzstan","Women's Freestyle 68kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--"
"MARIN POTRILLE Milaimy de la Carid","Bronze Medal","Female","Cuba","Women's Freestyle 76kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--"
"RENTERIA RENTERIA Tatiana","Bronze Medal","Female","Colombia","Women's Freestyle 76kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--"
"KAGAMI Yuka","Gold Medal","Female","Japan","Women's Freestyle 76kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--"
"BLADES Kennedy Alexis","Silver Medal","Female","United States","Women's Freestyle 76kg",False,"/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--"
"ZHAO Jie","Bronze Medal","Female","China","Women's Hammer Throw",False,"/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--"
"ROGERS Camryn","Gold Medal","Female","Canada","Women's Hammer Throw",False,"/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--"
"ECHIKUNWOKE Annette Nneka","Silver Medal","Female","United States","Women's Hammer Throw",False,"/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--"
"VIDTS Noor","Bronze Medal","Female","Belgium","Women's Heptathlon",False,NULL
"THIAM Nafissatou","Gold Medal","Female","Belgium","Women's Heptathlon",False,NULL
"JOHNSON-THOMPSON Katarina","Silver Medal","Female","Great Britain","Women's Heptathlon",False,NULL
"GERASHCHENKO Iryna","Bronze Medal","Female","Ukraine","Women's High Jump",False,"/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--"
"PATTERSON Eleanor","Bronze Medal","Female","Australia","Women's High Jump",False,"/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--"
"MAHUCHIKH Yaroslava","Gold Medal","Female","Ukraine","Women's High Jump",False,"/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--"
"OLYSLAGERS Nicola","Silver Medal","Female","Australia","Women's High Jump",False,"/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--"
"POTTER Beth","Bronze Medal","Female","Great Britain","Women's Individual",False,"/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--"
"BARBELIN Lisa","Bronze Medal","Female","France","Women's Individual",False,"/en/paris-2024/results/archery/women-s-individual/fnl-000200--"
"SEONG Seungmin","Bronze Medal","Female","Korea","Women's Individual",False,"/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--"
"LIM Sihyeon","Gold Medal","Female","Korea","Women's Individual",False,"/en/paris-2024/results/archery/women-s-individual/fnl-000100--"
"GULYAS Michelle","Gold Medal","Female","Hungary","Women's Individual",False,"/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--"
"BEAUGRAND Cassandre","Gold Medal","Female","France","Women's Individual",False,"/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--"
"CLOUVEL Elodie","Silver Medal","Female","France","Women's Individual",False,"/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--"
"DERRON Julie","Silver Medal","Female","Switzerland","Women's Individual",False,"/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--"
"NAM Suhyeon","Silver Medal","Female","Korea","Women's Individual",False,"/en/paris-2024/results/archery/women-s-individual/fnl-000100--"
"LIN Xiyu Janet","Bronze Medal","Female","China","Women's Individual Stroke Play",False,"/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------"
"KO Lydia","Gold Medal","Female","New Zealand","Women's Individual Stroke Play",False,"/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------"
"HENSELEIT Esther","Silver Medal","Female","Germany","Women's Individual Stroke Play",False,"/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------"
"DYGERT Chloe","Bronze Medal","Female","United States","Women's Individual Time Trial",False,"/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--"
"BROWN Grace","Gold Medal","Female","Australia","Women's Individual Time Trial",False,"/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--"
"HENDERSON Anna","Silver Medal","Female","Great Britain","Women's Individual Time Trial",False,"/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--"
"OGRODNIKOVA Nikola","Bronze Medal","Female","Czechia","Women's Javelin Throw",False,"/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--"
"KITAGUCHI Haruka","Gold Medal","Female","Japan","Women's Javelin Throw",False,"/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--"
"van DYK Jo-Ane","Silver Medal","Female","South Africa","Women's Javelin Throw",False,"/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--"
"WOODS Kimberley","Bronze Medal","Female","Great Britain","Women's Kayak Cross",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------"
"FOX Noemie","Gold Medal","Female","Australia","Women's Kayak Cross",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------"
"HUG Angele","Silver Medal","Female","France","Women's Kayak Cross",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------"
"WOODS Kimberley","Bronze Medal","Female","Great Britain","Women's Kayak Single",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--"
"FOX Jessica","Gold Medal","Female","Australia","Women's Kayak Single",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--"
"ZWOLINSKA Klaudia","Silver Medal","Female","Poland","Women's Kayak Single",False,"/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--"
"JORGENSEN Emma Aastrand","Bronze Medal","Female","Denmark","Women's Kayak Single 500m",False,"/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------"
"CARRINGTON Lisa","Gold Medal","Female","New Zealand","Women's Kayak Single 500m",False,"/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------"
"CSIPES Tamara","Silver Medal","Female","Hungary","Women's Kayak Single 500m",False,"/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------"
"FINUCANE Emma","Bronze Medal","Female","Great Britain","Women's Keirin",False,"/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------"
"ANDREWS Ellesse","Gold Medal","Female","New Zealand","Women's Keirin",False,"/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------"
"van de WOUW Hetty","Silver Medal","Female","Netherlands","Women's Keirin",False,"/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------"
"LAMMERTS Annelous","Bronze Medal","Female","Netherlands","Women's Kite",False,"/en/paris-2024/results/sailing/women-s-kite/fnl-000200--"
"ALDRIDGE Eleanor","Gold Medal","Female","Great Britain","Women's Kite",False,"/en/paris-2024/results/sailing/women-s-kite/fnl-000200--"
"NOLOT Lauriane","Silver Medal","Female","France","Women's Kite",False,"/en/paris-2024/results/sailing/women-s-kite/fnl-000200--"
"MOORE Jasmine","Bronze Medal","Female","United States","Women's Long Jump",False,"/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--"
"DAVIS-WOODHALL Tara","Gold Medal","Female","United States","Women's Long Jump",False,"/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--"
"MIHAMBO Malaika","Silver Medal","Female","Germany","Women's Long Jump",False,"/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--"
"OBIRI Hellen","Bronze Medal","Female","Kenya","Women's Marathon",False,"/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--"
"HASSAN Sifan","Gold Medal","Female","Netherlands","Women's Marathon",False,"/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--"
"ASSEFA Tigst","Silver Medal","Female","Ethiopia","Women's Marathon",False,"/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--"
"WOLLASTON Ally","Bronze Medal","Female","New Zealand","Women's Omnium",False,"/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--"
"VALENTE Jennifer","Gold Medal","Female","United States","Women's Omnium",False,"/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--"
"PIKULIK Daria","Silver Medal","Female","Poland","Women's Omnium",False,"/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--"
"BROWN Sky","Bronze Medal","Female","Great Britain","Women's Park",False,"/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--"
"DIEHM Natalya","Bronze Medal","Female","Australia","Women's Park",False,"/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--"
"TREW Arisa","Gold Medal","Female","Australia","Women's Park",False,"/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--"
"DENG Yawen","Gold Medal","Female","China","Women's Park",False,"/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--"
"HIRAKI Cocona","Silver Medal","Female","Japan","Women's Park",False,"/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--"
"BENEGAS Perris","Silver Medal","Female","United States","Women's Park",False,"/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--"
"NEWMAN Alysha","Bronze Medal","Female","Canada","Women's Pole Vault",False,"/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--"
"KENNEDY Nina","Gold Medal","Female","Australia","Women's Pole Vault",False,"/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--"
"MOON Katie","Silver Medal","Female","United States","Women's Pole Vault",False,"/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--"
"KOPECKY Lotte","Bronze Medal","Female","Belgium","Women's Road Race",False,"/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--"
"FAULKNER Kristen","Gold Medal","Female","United States","Women's Road Race",False,"/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--"
"VOS Marianne","Silver Medal","Female","Netherlands","Women's Road Race",False,"/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--"
"KHARLAN Olga","Bronze Medal","Female","Ukraine","Women's Sabre Individual",False,"/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--"
"APITHY-BRUNET Manon","Gold Medal","Female","France","Women's Sabre Individual",False,"/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--"
"BALZER Sara","Silver Medal","Female","France","Women's Sabre Individual",False,"/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--"
"SONG Jiayuan","Bronze Medal","Female","China","Women's Shot Put",False,"/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--"
"OGUNLEYE Yemisi","Gold Medal","Female","Germany","Women's Shot Put",False,"/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--"
"WESCHE Maddison-Lee","Silver Medal","Female","New Zealand","Women's Shot Put",False,"/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--"
"SENKUTE Viktorija","Bronze Medal","Female","Lithuania","Women's Single Sculls",False,"/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------"
"FLORIJN Karolien","Gold Medal","Female","Netherlands","Women's Single Sculls",False,"/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------"
"TWIGG Emma","Silver Medal","Female","New Zealand","Women's Single Sculls",False,"/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------"
"HAYATA Hina","Bronze Medal","Female","Japan","Women's Singles",False,"/en/paris-2024/results/table-tennis/women-s-singles/fnl-000200--"
"SWIATEK Iga","Bronze Medal","Female","Poland","Women's Singles",False,"/en/paris-2024/results/tennis/women-s-singles/fnl-000200--"
"TUNJUNG Gregoria Mariska","Bronze Medal","Female","Indonesia","Women's Singles",False,"/en/paris-2024/results/badminton/women-s-singles/sfnl000100--"
"ZHENG Qinwen","Gold Medal","Female","China","Women's Singles",False,"/en/paris-2024/results/tennis/women-s-singles/fnl-000100--"
"AN Se Young","Gold Medal","Female","Korea","Women's Singles",False,"/en/paris-2024/results/badminton/women-s-singles/fnl-000100--"
"CHEN Meng","Gold Medal","Female","China","Women's Singles",False,"/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--"
"VEKIC Donna","Silver Medal","Female","Croatia","Women's Singles",False,"/en/paris-2024/results/tennis/women-s-singles/fnl-000100--"
"SUN Yingsha","Silver Medal","Female","China","Women's Singles",False,"/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--"
"HE Bing Jiao","Silver Medal","Female","China","Women's Singles",False,"/en/paris-2024/results/badminton/women-s-singles/fnl-000100--"
"KALUCKA Aleksandra","Bronze Medal","Female","Poland","Women's Speed",False,"/en/paris-2024/results/sport-climbing/women-s-speed/------------"
"MIROSLAW Aleksandra","Gold Medal","Female","Poland","Women's Speed",False,"/en/paris-2024/results/sport-climbing/women-s-speed/------------"
"DENG Lijuan","Silver Medal","Female","China","Women's Speed",False,"/en/paris-2024/results/sport-climbing/women-s-speed/------------"
"FINUCANE Emma","Bronze Medal","Female","Great Britain","Women's Sprint",False,"/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------"
"ANDREWS Ellesse","Gold Medal","Female","New Zealand","Women's Sprint",False,"/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------"
"FRIEDRICH Lea","Silver Medal","Female","Germany","Women's Sprint",False,"/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------"
"LEAL Rayssa","Bronze Medal","Female","Brazil","Women's Street",False,"/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--"
